वाक्यम्,कर्ता,कर्म,क्रिया,कालः
शिकारी बाणम् अमुञ्चत्,शिकारी,बाणम्,अमुञ्चत्,भूत
व्याधः मृगम् अविध्यत्,व्याधः,मृगम्,अविध्यत्,भूत
गोपः धेनुम् अदोग्ध,गोपः,धेनुम्,अदोग्ध,भूत
कौलिकः पटम् अवयत्,कौलिकः,पटम्,अवयत्,भूत
तन्तुवायः तन्तुम् अतनोत्,तन्तुवायः,तन्तुम्,अतनोत्,भूत
आपणिकः मूल्यम् अपृच्छत्,आपणिकः,मूल्यम्,अपृच्छत्,भूत
क्रेता धनम् अददात्,क्रेता,धनम्,अददात्,भूत
विक्रेता वस्तु अयच्छत्,विक्रेता,वस्तु,अयच्छत्,भूत
धनिकः सुवर्णम् असञ्चिनोत्,धनिकः,सुवर्णम्,असञ्चिनोत्,भूत
भिक्षुः भिक्षां याचते,भिक्षुः,भिक्षाम्,याचते,वर्तमान
चोरः धनं चोरयति,चोरः,धनम्,चोरयति,वर्तमान
दस्युः ग्रामं लुण्ठति,दस्युः,ग्रामम्,लुण्ठति,वर्तमान
हन्ता प्राणान् हन्ति,हन्ता,प्राणान्,हन्ति,वर्तमान
व्याघ्री शावकं पोषयति,व्याघ्री,शावकम्,पोषयति,वर्तमान
सिंही गुहां प्रविशति,सिंही,गुहाम्,प्रविशति,वर्तमान
